Brand,Year,Model,UsedOrNew,Transmission,EngineSize,DriveType,FuelType,FuelConsumptionPer100km,Kilometres,ExteriorColour,CylindersinEngine,BodyType,Seats,Price,City,State
Mazda,2019,3,USED,Automatic,2.0,Front,Unleaded,6.2,4155,Grey,4,Hatchback,5,31999,Rockingham,WA
Ford,2021,Everest,USED,Automatic,2.0,Rear,Diesel,7.0,2460,Black,4,SUV,7,65995,Garbutt,QLD
Toyota,2018,RAV4,USED,Automatic,2.5,AWD,Unleaded,8.5,79819,White,4,SUV,5,35999,Rockingham,WA
LDV,2022,G10+,NEW,Automatic,2.0,Rear,Diesel,8.2,12,White,4,Commercial,2,36990,Townsville,QLD
Toyota,2008,Yaris,USED,Automatic,1.5,Front,Unleaded,6.7,174711,White,4,Hatchback,5,8999,Westcourt,QLD
Mazda,2011,CX-9,USED,Automatic,3.7,Front,Unleaded,11.0,187875,Silver,6,SUV,7,15699,Kelmscott,WA
Toyota,2018,86,USED,Automatic,2.0,Rear,Premium,7.1,49770,Red,4,Coupe,4,36569,Bentley,WA
Suzuki,2019,Swift,USED,Automatic,1.2,Front,Unleaded,4.8,51847,Blue,4,Hatchback,5,20988,Rockingham,WA
BMW,2021,X3,USED,Automatic,2.0,AWD,Unleaded,7.6,35500,Black,4,SUV,5,77990,Myaree,WA
Toyota,1993,Landcruiser,USED,Automatic,4.5,4WD,Unleaded,0.0,413515,Silver,6,SUV,8,12999,Westcourt,QLD
Hyundai,2020,Kona,USED,Automatic,2.0,Front,Unleaded,7.2,48323,White,4,SUV,5,24990,Bungalow,QLD
Toyota,2021,RAV4,USED,Automatic,2.5,Front,Hybrid,4.7,58316,White,4,SUV,5,46388,Bentley,WA
Toyota,2006,Landcruiser,USED,Manual,4.2,4WD,Diesel,13.0,267126,White,6,SUV,6,35990,Bungalow,QLD
Subaru,2018,XV,USED,Automatic,2.0,AWD,Unleaded,7.0,44489,Grey,4,SUV,5,35788,Mandurah,WA
Mitsubishi,2019,Triton,USED,Automatic,2.4,4WD,Diesel,7.6,84760,Blue,4,Ute / Tray,5,46990,Parramatta Park,QLD
Suzuki,2018,Swift,USED,Automatic,1.2,Front,Unleaded,4.8,98916,Black,4,Hatchback,5,17977,Mandurah,WA
Toyota,2017,86,USED,Manual,2.0,Rear,Premium,7.8,78511,Blue,4,Coupe,4,28990,Parramatta Park,QLD
Mazda,2016,CX-3,USED,Automatic,2.0,Front,Unleaded,6.1,56280,White,4,SUV,5,24990,Cairns,QLD
Kia,2017,Sportage,USED,Automatic,2.0,Front,Unleaded,7.9,71447,Silver,4,SUV,5,26999,Rockingham,WA
Kia,2019,Stinger,USED,Automatic,3.3,Rear,Unleaded,10.2,32041,Blue,6,Sedan,5,56990,Bungalow,QLD
Hyundai,2020,I30,USED,Automatic,2.0,Front,Unleaded,7.4,60139,White,4,Hatchback,5,23999,Rockingham,WA
Hyundai,2018,I30,USED,Automatic,2.0,Front,Unleaded,7.4,33962,White,4,Hatchback,5,22990,Cairns City,QLD
Nissan,2017,Navara,USED,Manual,2.3,4WD,Diesel,6.5,93265,-,4,Ute / Tray,5,34888,Rockingham,WA
Mercedes-Benz,2019,X350,USED,Automatic,3.0,4WD,Diesel,8.8,149606,Brown,6,Ute / Tray,5,49990,Bungalow,QLD
Toyota,2021,RAV4,USED,Automatic,2.5,Front,Hybrid,4.7,59156,Silver,4,SUV,5,45988,Bentley,WA
MG,2021,MG3,USED,Automatic,1.5,Front,Premium,6.7,28763,Blue,4,Hatchback,5,17850,Cairns,QLD
MG,2022,HS,USED,Automatic,1.5,Front,Unleaded,7.3,32122,White,4,SUV,5,26977,Victoria Park,WA
Honda,2017,Odyssey,USED,Automatic,2.4,Front,Unleaded,7.8,93819,Silver,4,Wagon,7,33977,Mandurah,WA
